#{"t_start": 1762103691.916736, "env_id": "None"}
r,l,t
-999.0625,199,37.701626
-999.0625,199,37.783053
-999.0625,199,37.86819
-999.0625,199,37.949245
-999.0625,199,38.034533
-999.0625,199,38.386505
-999.0625,199,38.470131
-999.0625,199,38.554411
-999.0625,199,38.636957
-999.0625,199,38.720016
-999.0625,199,38.804642
-999.0625,199,38.887717
-999.0625,199,38.971591
-999.0625,199,39.053922
-999.0625,199,39.136187
-999.0625,199,39.224224
-999.0625,199,39.309092
-999.0625,199,39.392867
-999.0625,199,39.475703
-999.0625,199,39.560427
-999.0625,199,39.645633
-999.0625,199,39.72858
-999.0625,199,39.813542
-999.0625,199,39.896344
-999.0625,199,39.978534
-999.0625,199,40.065218
-999.0625,199,40.150012
-999.0625,199,40.235066
-999.0625,199,40.317523
-999.0625,199,40.400081
-999.0625,199,40.752761
-999.0625,199,40.83436
-999.0625,199,40.919989
-999.0625,199,41.005086
-999.0625,199,41.086795
-999.0625,199,41.172397
-999.0625,199,41.253764
-999.0625,199,41.338831
-999.0625,199,41.423113
-999.0625,199,41.507362
-999.0625,199,41.593318
-999.0625,199,41.673202
-999.0625,199,41.757538
-999.0625,199,41.84029
-999.0625,199,41.922193
-999.0625,199,42.007387
-999.0625,199,42.088462
-999.0625,199,42.173079
-999.0625,199,42.25773
-999.0625,199,42.342901
-999.0625,199,42.426555
-999.0625,199,42.508145
-999.0625,199,42.59187
-999.0625,199,42.675633
-999.0625,199,42.759896
-999.0625,199,43.112487
-999.0625,199,43.197875
-999.0625,199,43.282195
-999.0625,199,43.364504
-999.0625,199,43.445802
-999.0625,199,43.529475
-999.0625,199,43.613114
-999.0625,199,43.694475
-999.0625,199,43.778416
-999.0625,199,43.860748
-999.0625,199,43.946078
-999.0625,199,44.028706
-999.0625,199,44.112799
-999.0625,199,44.196767
-999.0625,199,44.281967
-999.0625,199,44.367613
-999.0625,199,44.451752
-999.0625,199,44.537038
-999.0625,199,44.619933
-999.0625,199,44.70273
-999.0625,199,44.787668
-999.0625,199,44.873947
-999.0625,199,44.958573
-999.0625,199,45.040681
-999.0625,199,45.123529
-999.0625,199,45.47721
-999.0625,199,45.561848
-999.0625,199,45.647409
-999.0625,199,45.730337
-999.0625,199,45.812594
-999.0625,199,45.897796
-999.0625,199,45.979322
-999.0625,199,46.06286
-999.0625,199,46.146638
-999.0625,199,46.229396
-999.0625,199,46.31563
-999.0625,199,46.399993
-999.0625,199,46.484073
-999.0625,199,46.567603
-999.0625,199,46.650935
-999.0625,199,46.736472
-999.0625,199,46.819756
-999.0625,199,46.902227
-999.0625,199,46.985327
-999.0625,199,47.069281
-999.0625,199,47.153513
-999.0625,199,47.23539
-999.0625,199,47.316511
-999.0625,199,47.400411
-999.0625,199,47.482121
